train_loss,train_acc,test_loss,test_acc,lr
1.2277052930252703,0.5461624026696329,1.3441047138637967,0.5511111111111111,0.00016
0.8738777172048312,0.7419354838709677,1.1170642624961005,0.6577777777777778,0.00024
0.7989909987030623,0.7975528364849833,0.7794901630613539,0.8044444444444444,0.00032
0.7059331881058495,0.8342602892102335,0.5430881012810601,0.9244444444444444,0.0004
0.7110361225480365,0.8420467185761957,0.957663683493932,0.7466666666666667,0.0004
0.695264385725155,0.8598442714126807,0.638711416721344,0.8711111111111111,0.0003998909248395148
0.6776874106174317,0.8743047830923248,0.5046485249201457,0.9555555555555556,0.0003995638186301456
0.6981384537376472,0.8531701890989989,0.5108805971675449,0.9555555555555556,0.00039901903905772984
0.6418723292292424,0.8776418242491657,0.7404963629775577,0.8488888888888889,0.00039825718183073163
0.6381057872125119,0.8832035595105673,0.49320631901423134,0.96,0.0003972790800288432
0.6923533945911056,0.8598442714126807,0.5333240183194479,0.9422222222222222,0.00039608580319202457
0.5752145096377881,0.9110122358175751,0.45736150516404045,0.9777777777777777,0.0003946786561509773
0.6079173801141533,0.896551724137931,0.646484435002009,0.8844444444444445,0.00039305917760033116
0.6334285539832873,0.8865406006674083,0.6049128720495436,0.9022222222222223,0.00039122913841610447
0.593163221842455,0.9054505005561735,0.4841456927193536,0.9733333333333334,0.00038919053971927674
0.5501410033599421,0.9354838709677419,0.48332348889774746,0.9555555555555556,0.0003869456106875926
0.5658091390225726,0.9221357063403782,0.4615454408857558,0.9777777777777777,0.0003844968061179884
0.5831365634389926,0.9165739710789766,0.4477832396825155,0.9777777777777777,0.0003818468037423081
0.5371534835642516,0.9421579532814238,0.5051434618896908,0.9333333333333333,0.0003789985012992425
0.4976427775866728,0.946607341490545,0.4263703306516012,0.9866666666666667,0.0003759550133656947
0.5174757758687946,0.9454949944382648,0.4569218785232968,0.9733333333333334,0.0003727196679510361
0.49862883452976636,0.9454949944382648,0.46160482711262174,0.9777777777777777,0.0003692960028579767
0.5041035187655482,0.946607341490545,0.4567343486679925,0.9777777777777777,0.00036568776181403006
0.5435476641235946,0.9377085650723026,0.5623770287301806,0.9288888888888889,0.00036189889037780207
0.5349533853926038,0.9399332591768632,0.4661567625734541,0.9688888888888889,0.00035793353162458057
0.5217768654674789,0.9399332591768632,0.4659986956914266,0.9644444444444444,0.00035379602161594344
0.5284542785139053,0.9399332591768632,0.4377423503663805,0.9777777777777777,0.00034949088465833876
0.5142112079266048,0.9477196885428254,0.48262192063861425,0.9644444444444444,0.0003450228283558223
0.48762130014623234,0.9566184649610678,0.4392091755072276,0.9688888888888889,0.0003403967384623615
0.5006378304971604,0.9477196885428254,0.5626364241706,0.9288888888888889,0.0003356176735393354
0.5000430071380433,0.9488320355951056,0.47469388378991023,0.9644444444444444,0.00033069085942407164
0.4728721918266793,0.96440489432703,0.4375527152750227,0.9822222222222222,0.00032562168351547063
0.48145631224215363,0.96440489432703,0.46150015513102216,0.9644444444444444,0.00032041568888296353
0.4992080570195488,0.9588431590656284,0.444992753399743,0.9777777777777777,0.0003150785682052473
0.491794567086938,0.9555061179087876,0.4605734529760149,0.9733333333333334,0.00030961615754542427
