train_loss,train_acc,val_loss,val_acc
1.3085734898574626,0.4905450500556173,0.6821245394812689,0.8444444444444444
0.7895859997052372,0.8086763070077865,0.8236670972241296,0.8
0.7980356248255168,0.8109010011123471,1.0382777456442516,0.6977777777777778
0.9525506614445314,0.699666295884316,0.6533158402972751,0.9155555555555556
0.7545493174182692,0.8264738598442715,0.9140708329942492,0.7377777777777778
0.7165835654244938,0.8487208008898777,0.6358303258154128,0.8622222222222222
0.6023497975641682,0.9010011123470523,0.6203143604596456,0.9066666666666666
0.6761111598192519,0.8698553948832035,0.7487660355038113,0.8533333333333334
0.6071174688413491,0.8954393770856507,0.45706431600782604,0.9777777777777777
0.5698663711017443,0.9165739710789766,0.6048168252574073,0.9111111111111111
0.6447613537643059,0.8921023359288098,0.5105708368619283,0.9644444444444444
0.5770921488359853,0.9210233592880979,0.46781910181045533,0.9511111111111111
0.5536231714175461,0.9232480533926585,0.43637580580181545,0.9733333333333334
0.5593193406125198,0.9232480533926585,0.49383481250868905,0.9377777777777778
0.6113157772248791,0.9098998887652948,0.48137773089938696,0.9733333333333334
0.5328987343557949,0.9365962180200222,0.4439776388804118,0.9777777777777777
0.5050773486677346,0.9443826473859844,0.5035715712441339,0.9422222222222222
0.5400467256749167,0.9254727474972191,0.4380411513646444,0.9777777777777777
0.5451119541458876,0.9388209121245829,0.45045586837662593,0.9866666666666667
0.5253858206932484,0.9421579532814238,0.4470041542583042,0.9733333333333334
0.5372377660568882,0.9332591768631813,0.4600028049945831,0.9777777777777777
0.5227082271597144,0.9377085650723026,0.44164063294728595,0.9733333333333334
0.5357585340506242,0.92880978865406,0.4628578554259406,0.9777777777777777
0.5149458246978955,0.9454949944382648,0.47276665608088175,0.9733333333333334
0.5533042145650564,0.932146829810901,0.5491067039966583,0.9333333333333333
0.5141094223211816,0.9432703003337041,0.6443478075663248,0.88
0.5069644270802499,0.9555061179087876,0.5579697261916267,0.9244444444444444
0.5005952064134388,0.946607341490545,0.41605153918266297,0.9866666666666667
0.47284120036179283,0.9655172413793104,0.48532626496420966,0.9644444444444444
0.5129659338973388,0.9477196885428254,0.5089564224084219,0.9377777777777778
0.4859292680548879,0.9610678531701891,0.4882589795854357,0.9644444444444444
0.5075297681190015,0.9454949944382648,0.5119377353456285,0.9511111111111111
0.4941887038700838,0.9532814238042269,0.5022517379124959,0.9511111111111111
0.48788981005400256,0.9521690767519466,0.42056494845284353,0.9822222222222222
