fold,best_epoch,accuracy,f1,precision,recall
1,13,0.9833333333333333,0.9839886141256005,0.9841880341880342,0.9839260312944523
2,30,0.9833333333333333,0.9830505050505052,0.9831206804891016,0.9831206804891016
3,31,0.9888888888888889,0.9888348039176087,0.9895945945945945,0.9883838383838384
4,13,0.9944444444444445,0.9946628713752002,0.9945945945945945,0.9948717948717949
5,29,0.994413407821229,0.994593607305936,0.9945945945945945,0.9947368421052631
